,N,GL,MBO,SVM,RandomForest
0,20,0.7113111986494092,0.7698368036015757,0.666854248733821,0.48283624085537424
1,40,0.8924302788844621,0.8406374501992032,0.7763232783153102,0.47751849743881614
2,60,0.8549222797927462,0.8261370178468624,0.7783534830166955,0.5647668393782384
3,80,0.856144437973209,0.8223645894001165,0.7676179382644147,0.6412347117064647
4,100,0.8509133765468474,0.8196817913965821,0.7796110783736004,0.5957572186210961
5,140,0.8213639106819554,0.7899818949909475,0.7628243814121907,0.6584188292094146
6,200,0.8090169067000627,0.7820914214151534,0.7877269881026926,0.6837820914214151
7,400,0.7630637079455977,0.7637795275590551,0.8389405869720831,0.7566213314244811
