,N,GL,MBO,SVM,RandomForest
0,15,0.6835016835016835,0.7620650953984287,0.6627384960718294,0.36363636363636365
1,30,0.77815506508206,0.8432371250707413,0.7753254102999434,0.4844368986983588
2,45,0.848744292237443,0.8601598173515982,0.7865296803652968,0.553082191780822
3,60,0.8341968911917098,0.844559585492228,0.7927461139896373,0.643062751871042
4,75,0.8501742160278746,0.8304297328687572,0.7915214866434379,0.6416957026713124
5,105,0.8563829787234043,0.8191489361702128,0.7736406619385343,0.6666666666666666
6,150,0.8391013964784456,0.8123861566484517,0.7905282331511839,0.6593806921675774
7,300,0.8416833667334669,0.8283233132932531,0.8370073480293921,0.7234468937875751
