,N,GL,MBO,SVM,RandomForest
0,20,0.7265053460889139,0.8221722003376477,0.7507034327518289,0.46933033202025887
1,40,0.7791690381331816,0.852589641434263,0.7825839499146272,0.5179282868525896
2,60,0.8290155440414507,0.869314910765688,0.8019573978123201,0.6033390903857225
3,80,0.8188701223063483,0.8555620267909144,0.7944088526499709,0.6953989516598719
4,100,0.7949322333529758,0.8426635238656452,0.807307012374779,0.6446670595167944
5,140,0.9197344598672299,0.8636089318044659,0.8062764031382016,0.6982498491249246
6,200,0.886662492172824,0.8503443957420163,0.8346900438321854,0.6881653099561679
7,400,0.9498926270579814,0.9212598425196851,0.8990694345025053,0.8167501789549033
