Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.9383838383838384,0.9343379978471475,1.0,0.8767676767676768,5
MBO,0.9535353535353536,0.951271186440678,1.0,0.907070707070707,5
Graph Laplacian,1.0,1.0,1.0,1.0,10
MBO,1.0,1.0,1.0,1.0,10
Graph Laplacian,0.9979166666666667,0.9979123173277662,1.0,0.9958333333333333,20
MBO,0.9979166666666667,0.9979123173277662,1.0,0.9958333333333333,20
Graph Laplacian,0.9978260869565218,0.9978213507625272,1.0,0.9956521739130435,40
MBO,0.9945652173913043,0.994535519125683,1.0,0.9891304347826086,40
Graph Laplacian,0.9988095238095238,0.99880810488677,1.0,0.9976190476190476,80
MBO,1.0,1.0,1.0,1.0,80
Graph Laplacian,0.9985294117647059,0.9985272459499264,1.0,0.9970588235294118,160
MBO,0.9985294117647059,0.9985272459499264,1.0,0.9970588235294118,160
