Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.702020202020202,0.8249258160237388,0.702020202020202,1.0,5
MBO,0.9505050505050505,0.9634601043997018,1.0,0.9294964028776979,5
Graph Laplacian,0.7489795918367347,0.8487084870848709,0.7371794871794872,1.0,10
MBO,0.9908163265306122,0.9934354485776805,1.0,0.9869565217391304,10
Graph Laplacian,0.9135416666666667,0.9424809424809425,0.891218872870249,1.0,20
MBO,0.9947916666666666,0.9963369963369962,0.9927007299270073,1.0,20
Graph Laplacian,0.9586956521739131,0.972017673048601,0.9455587392550143,1.0,40
MBO,0.9967391304347826,0.9977220956719818,1.0,0.9954545454545455,40
Graph Laplacian,0.9761904761904762,0.9841269841269841,0.96875,1.0,80
MBO,0.9964285714285714,0.9975747776879547,1.0,0.9951612903225806,80
Graph Laplacian,0.9823529411764705,0.989010989010989,0.9782608695652174,1.0,160
MBO,0.9970588235294118,0.9981515711645101,0.996309963099631,1.0,160
